,,Form name,Form name,Form name,Form name,Form name,Form name,Form name,Welsh,Welsh,Welsh,Guidance,Guidance,Guidance,Relationships,Relationships,Relationships,Relationships,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Usage,Usage,Usage,Usage,Owner,Owner,Owner,Owner,Owner,Owner,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Pay,Pay,
,,500,5401,,"Binder (post) - buff (lettered ""Committals for Trial"") size A4",---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5402,,"Binder (post) - orange (lettered ""Committals for Sentence"") size A4",---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5403,,"Binder (post) - green (lettered ""Appeals"") size A4",---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5405,,Binder (ring) - dark green size A4 for filling excusal from Jury Service request,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5406,,Binder (ring) - navy - size A3 for filling form 5232,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5407,,Binder (ring) - dark green size A3,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5408,,"Binder (post, telescopic) for registry index size A6",---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5422,,H boxes 203mm x 127mm (jury ballot boxes large),---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,EX,EX4,,Internal memo pads,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,EX,EX66,,Jury summons envelope,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,CC,CC59,,"Judges Notebook - foolscap, ruled feint",CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,CC,CC60,,"Judges Notebook - foolscap, plain",CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,NG,NG,,Notice and grounds of appeal,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,W,W,,Notice of application for witness,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,B,B,,Notice of application for bail,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,B,BC,,"Order granting bail pending appeal to Court of Appeal, Criminal Division",M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,C,C,,Certificate by Judge of the CC of fitness for appeal,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,RC,RC,,Registrar's certificate of receipt of notice of appeal,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,PA,PA2,,How to obtain probate - A guide for people acting without a solicitor,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,564,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA3,,,,,,,,,,,,,,,,,,,,,,,,,,,604,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA4,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA5,,Do I need a grant of representation (probate or letters of administration)? A guide for people dealing with the estate when someone has recently died,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,140,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA6,,what will happen at my probate interview? A guide for people seeking to obtain probate,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA7,,How to deposit a will with the Probate Service - A guide for people who want to deposit a will for safekeeping,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,77,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA8,,How to enter a caveat - A guide for people who want to challenge an application for grant on an estate,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,86,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA9,,How to enter a general search - A guide for people who want to know about the estate of a deceased person,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,PA,PA10,,How to enter a standing search - A guide for people who want to know about the estate of someone who has recently died,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,DPR,DPR254A (Personal applicants),,Probate file cover,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,DPR,DPR254A (Solicitors),,Probate file cover,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Probate,Mark Burden,,,,,,,,,,,,,
,,ADM,ADM1,,Claim form (admiralty claim in rem),www,,,,,,,,,,,,,,,,,,,,,,,,138,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM1A,,Claim form (admiralty claim),www,,,,,,,,,,,,,,,,,,,,,,,,134,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM1C,,Notes for defendant on replying to an in rem claim form,www,,,,,,,,,,,,,,,,,,,,,,,,5,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM2,,Acknowledgment of service for admiralty claims in rem,www,,,,,,,,,,,,,,,,,,,,,,,,65,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM3,,Collision statement of case,www,,,,,,,,,,,,,,,,,,,,,,,,20,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM4,,Application and undertaking for arrest and custody,www,,,,,,,,,,,,,,,,,,,,,,,,46,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM5,,Declaration in support of application for warrant of arrest,www,,,,,,,,,,,,,,,,,,,,,,,,36,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM6,,Notice to consular officer of intention to apply for warrant of arrest,www,,,,,,,,,,,,,,,,,,,,,,,,10,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM7,,Request for caution against arrest,www,,,,,,,,,,,,,,,,,,,,,,,,12,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM9,,Warrant of arrest,www,,,,,,,,,,,,,,,,,,,,,,,,61,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM10,,Standard directions to Admiralty Marshal,www,,,,,,,,,,,,,,,,,,,,,,,,30,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM11,,Request for caution against release,www,,,,,,,,,,,,,,,,,,,,,,,,16,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM12,,Request and undertaking for release,www,,,,,,,,,,,,,,,,,,,,,,,,21,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM12A,,Request for withdrawal and caution against release,www,,,,,,,,,,,,,,,,,,,,,,,,8,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM13,,Application for judgment in default,www,,,,,,,,,,,,,,,,,,,,,,,,36,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM14,,Order for sale of a ship,www,,,,,,,,,,,,,,,,,,,,,,,,24,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM15,,Claim form (admiralty limitation claim),www,,,,,,,,,,,,,,,,,,,,,,,,36,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM15B,,Notes for defendant on replying to an admiralty limitation claim,www,,,,,,,,,,,,,,,,,,,,,,,,15,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM16,,Notice of admission of right of claimant to limit liability,www,,,,,,,,,,,,,,,,,,,,,,,,17,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM16A,,Defence to admiralty limitation claim,www,,,,,,,,,,,,,,,,,,,,,,,,10,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM16B,,Acknowledgment of service (admiralty limitation claim),www,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM17,,Application for restricted limitation decree,www,,,,,,,,,,,,,,,,,,,,,,,,11,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM17A,,Application for general limitation decree,www,,,,,,,,,,,,,,,,,,,,,,,,10,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM18,,Restricted limitation decree,www,,,,,,,,,,,,,,,,,,,,,,,,6,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM19,,General limitation decree,www,,,,,,,,,,,,,,,,,,,,,,,,13,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,ADM20,,Defendant's claim in a limitation,www,,,,,,,,,,,,,,,,,,,,,,,,14,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,ADM,AMD21,,Declaration as to inability of a defendant to file and serve statement of case under a decree of limitation,www,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Admirality,"Admirality core, RCJ",,,,,,,,,,,,,
,,AC,AC001,,Request for an adjournment,www,,,,,,,,,,,,,,,,,,,,,,,,131,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC010,,Notice of appeal to the High Court (Modification/Renewal of Non-Derogating Control Orders,,,,,,,,,,,,,,,,,,,,,,,,,14,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC011,,Claim form (under section11),,,,,,,,,,,,,,,,,,,,,,,,,32,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC012,,Pratice Guidance (Administrative Court; applications to extend representation orders in extradition appeals),,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC013,,Guidance as to how the parties should assist the court when applications for costs are made following settlement of claims for judicial review - december 2013,,,,,,,,,,,,,,,,,,,,,,,,,8,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC014,,Skeleton arguments template,,,,,,,,,,,,,,,,,,,,,,,,,96,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC015,,Administrative Court office guidance,,,,,,,,,,,,,,,,,,,,,,,,,5,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC016,,Appeals under section 289 of the Town and Country Planning Act 1990,,,,,,,,,,,,,,,,,,,,,,,,,4,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,AC,AC017,,Claims for planning statutory review - Notes for guidance for court users,,,,,,,,,,,,,,,,,,,,,,,,,4,,HMCTS,Administrative Court,RCJ,,,,,,,,,,,,,
,,N,N1(CC),,Claim form,www,,,,,,,,,,,,,,,,,,,,,,,,2317,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N1C(CC),,Notes for defendant,www,,,,,,,,,,,,,,,,,,,,,,,,54,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N9(CC),,Acknowledgment of service,www,,,,,,,,,,,,,,,,,,,,,,,,726,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N208(CC),,Claim form (Part 8),www,,,,,,,,,,,,,,,,,,,,,,,,549,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N208C(CC),,Notes for defendant,www,,,,,,,,,,,,,,,,,,,,,,,,81,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N210(CC),,Acknowledgment of service (Part 8),www,,,,,,,,,,,,,,,,,,,,,,,,326,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N211(CC),,Claim form (Part 20),www,,,,,,,,,,,,,,,,,,,,,,,,101,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N211C(CC),,Notes for Part 20 defendant,www,,,,,,,,,,,,,,,,,,,,,,,,12,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N213(CC),,Acknowledgment of service (Part 20),www,,,,,,,,,,,,,,,,,,,,,,,,39,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N244(CC),,Application notice,www,,,,,,,,,,,,,,,,,,,,,,,,1413,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,N,N265(CC),,List of Documents standards disclosure,www,,,,,,,,,,,,,,,,,,,,,,,,193,,HMCTS,Commercial,RCJ,,,,,,,,,,,,,
,,TAS,TAS1,,,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TAS,TAS1HB,,Housing Benefit,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TAS,TAS1HBR,,Housing Benefit Respondent,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TAS,TAS1MED,,Medical,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TAS,TAS1OVERSEAS,,,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TAS,TAS1R,,Respondent,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS301,,"Appllants claim form for travelling expenses, subsistence allowance, compensation for loss of earnings and carers expenses",pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304 Monthly,,Fee paid panel members claim for tribunal business travel and miscellaneous expenses,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304D,,Fee paid panel members with disabilities claim for additional travel and carer expenses to primary venuse only,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304MA,,Appraiser's Fee(s) claim form,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304RE,,Readers travelling and subsistence claim form,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304RF,,Fee paid panel members claim for the visually impaired,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304ADF,,Fee paid panel members claim for additional fee(s),pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS148,,Claims for travelling expenses only,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS304TF,,Fee paid panel members and internal lecturers claim for training fees,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TS307,,Medical report fees,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TS,TSRT1,,Tribunals rail travel application form,pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS SSCSA,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TT,TT01,,Notice of appeal against decision of a Traffic Commissioner,,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS TT,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,TT,TT02,,Notice of appeal against decision of the Registrar for approved driving instructors,,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,TS TT,"Tribunal Services, Social Services and Child Support Agency",,,,,,,,,,,,,
,,EP,EP1PG,,Notice of intention to apply for registration of an Enduring Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,EP,EP2PG,,Application for registration of an Enduring Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,EP,EP2PGNotes,,Application to register an Enduring Power of AttorneyGuidance Notes for completing the application form EP2PG,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,EP,EP3PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,EP,EPA101,,Enduring Power of Attorney - Guidance about Enduring Powers of Attorney and their use,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS01,,Getting started with your property and affairs deputyship,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS02,,Information for property and affairs deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS03,,Information for personal welfare deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS04,,How decisions need to be made,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS05,,Keeping records and reporting to the OPG,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS06,,How you will be supervised as a deputy,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS07,,Investigations and safeguarding vulnerable adults,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,FS,FS08,,Visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA001,,Notice of intention to apply for registration of a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA002,,Application to register a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA002 Notes,,Application to register a Lasting Power of Attorney - Guidance Notes for completing the application form LPA2,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA003A,,Notice to an attorney of receipt of an application to register a Lasting Power of Attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA003B,,Notice to donor of receipt of an application to register a Lasting Power of Attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA004,,Notice of registration of a Lasting Power of Attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA005,,Disclaimer by a proposed or acting attorney under a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA006,,Objection by the donor to the registration of a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA007,,Objection to the Office of the Public Guardian of a proposed registration of a Lasting Power of Attorney on factual grounds,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA008,,Notice to the Office of the Public Guardian of an application to object to registration of a lasting power of attorney made to the Court of Protection,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA102,,A guide for people who want to make a personal welfare Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA103,,A guide for people who want to make a property and affairs Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA104,,A guide for people taking on the role of property and affairs attorney under a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA105,,A guide for people taking on the role of a personal welfare attorney under a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LAP107,,Certificate provider and witness guidance,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA108,,A guide to registering a Lasting Power of Attorney,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA109,,"Office of the Public Guardian Registers - Register of Lasting Powers of Attorney, Register of Enduring Powers of Attorney and Register of Court orders appointing Deputies (Inc form OPG100)",Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA110,,How to register your lasting power of attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA111,,Guidance for people who want to make a lasting power of attorney for health and welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA112,,Guidance for people who want to make a lasting power of attorney for property and financial affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA113,,Lasting power of attorney information sheet - the people involved,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA114,,Lasting power of attorney for health and welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA115,,Continuation sheet - lasting power of attorney for health and welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA116,,Part C - Delcaration by each attorney or replacement attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA117,,Lasting power of attorney - property and financial affairs#,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA118,,A1 continuation sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA119,,Part C - Delcaration by each attorney or replacement attorney (property and financial affairs),,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,LPA,LPA120,,EPA and LPA Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,OPG,OPG100,,"Application for search of OPG registers for an enduring power of attorney, lasting power of attorney or deputyship order",,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,OPG,OPG101,,Certificate of search result of OPG registers,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,OPG,OPG102,,Deputyship report and declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,OPG,OPG120,,Deputyship fees,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
,,OPG,OPG502,,OPG and Court: Who we are and what we do,Pre-printed,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Public Guardian,,"Simon Busch, content editor",Louis Cummings,,,,,,,,,,,,
